RCP_SNO,CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_TIME_NM,RCP_PARTS_DTLS,INFO_NA,INFO_PRO,INFO_FAT,INFO_CAR,INFO_ENG,RCP_NA_TIP,MANUAL01,MANUAL02,MANUAL03,MANUAL04,MANUAL05,MANUAL06
1,함박스테이크,기타,소고기,메인반찬,60분이내,"필수 재료 : 다진 소고기(90g), 다진 돼지고기(90g), 양파(15g), 마늘(7g), 깻잎(3g), 올리브오일(5g), 메추리알(35g)
숙성 : 소금(0.2g), 후춧가루(0.02g), 달걀(15g), 녹말가루(3g), 빵가루(7g)
소스 : 마른고추(3g), 대파(5g), 마늘(5g), 와인(15g),저염간장(5g), 올리고당(5g), 설탕(5g), 토마토(5g)",243.5,28.3,17.8,7.5,303.3,"?깻잎의 향으로 고기의 누린내를 잡았어요. 
?고추, 와인, 토마토를 활용한 저염소스를 만들어 나트륨 함량을 낮췄어요.",1. 마늘과 양파는 입자있게 다져 볶아서 준비한다.,"2. 다진 소고기와 돼지고기에 볶아놓은 마늘과 양파를 넣고, 소금과 후춧가루, 달걀물, 빵가루, 녹말가루를 넣어 골고루 치대어 숙성시킨다.",3. 깻잎은 곱게 채를 썰어 찬물에 담가 싱싱해 지면 건져 숙성된 고기에 넣는다.,4. 깻잎을 넣은 고기를 지름 4cm 크기의 함박스테이크 형태를 만들어 팬에 올리브오일을 넣고 익힌다,"5. 냄비에 마른고추와 대파, 마늘, 와인, 저염간장, 올리고당, 설탕을 넣어 끓이다가, 토마토(2/3 분량)를 다져넣고, 뭉근하게 졸여 체에 걸러 놓는다.",6. 남은 토마토는 원형을 살려 슬라이스하여 접시에 깔아준 뒤 익힌 함박스테이를 얹고 메추리알은 한 개씩 반숙 지단을 부쳐 익힌 함박스테이크 위에 올린다.
2,들깨순두부찌개,끓이기,기타,국/탕,30분이내,"재료 굴(40g), 멸치(2g), 표고버섯(10g), 느타리버섯(40g), 무(20g)
양파(10g), 미나리(10g), 대파(3g), 붉은 고추(2g), 순두부(100g)
양념 다진 마늘(1g), 들깻가루(10g), 국간장(1.5g), 소금(0.5g)",111.6,2.8,1.36,2.92,171.7,"보통 순두부찌개에 넣는 고춧가루를 넣지 않고
들깻가루와 들깨를 넣어 고소한 맛을 내 나트륨 섭취를 줄였다.","1. 굴은 깨끗이 씻은 뒤 김 오른 찜기에
찐다.","2. 굴을 쪄낸 물(250g)에 멸치,
표고버섯 밑동을 넣고 끓인 뒤
멸치와 표고버섯 밑동을 건져내
육수를 만든다.","3. 느타리버섯은 밑동을 제거한 후
씻어 세로로 찢고, 표고버섯은
0.5㎝ 두께로 썬다.","4. 무는 나박 썰고 양파는 채 썰고,
미나리는 3㎝ 길이로 썰고,
대파와 고추는 송송 썬다.","5. 육수에 굴, 다진 마늘, 무, 양파,
버섯을 넣고 끓인다.","6. 들깻가루와 순두부를 넣고 한소끔
끓인 뒤 국간장과 소금으로 간을
맞추고 대파, 붉은 고추, 미나리를
올려 마무리한다."
3,전복죽,끓이기,해물류,밥/죽/떡,30분이내,"쌀(50g), 전복(50g), 새우살(20g),양송이(20g), 당근(10g)
참기름(10g), 잣(10g)
- 소스 : 저염간장(5g)",109.9,17.6,1.3,36,225.9,"전복 자체에 간을 이용하고, 참기름의 고소하고 깊은 맛을 이용하여 별도의 소금을 사용하지 않은 음식이예요.","1. 깨끗이 씻은 쌀에 물을 2배 정도 넣고
약 30분 정도 충분히 불려 준비한다.","2. 전복은 수저를 이용하여 껍질에서
떼어내어 내장을 분리해 놓는다.","3. 내장을 제거한 전복은 깨끗이 씻어,
썰어 놓는다.","4. 새우살은 꼬리를 제거하고 입자있게
썰어 놓는다.","5. 양송이는 껍질을 벗겨 입자있게
썰고, 당근도 양송이 크기에 맞게
썰어 놓는다.","6. 냄비에 참기름을 두르고, 전복을 은근히
볶다가, 다시 불린 쌀을 넣고 볶은 뒤
물을 넣고 약 20분 정도 끓인다. 죽이
끓으면 새우와 양송이, 당근을 넣고
은근히 저어가면서 다시 20분 정도
더 끓여, 죽이 어우러지면 잣을 올리고
저염간장을 함께 제공한다."
4,삼겹살라면,끓이기,돼지고기,면/만두,30분이내,"재료 라면(100g), 쪽파(3g)
육수 돼지고기(삼겹살, 60g), 대파(20g), 얇게 썬 생강(5g), 가다랑어포(3g)
조림양념 저염간장(3g), 맛술(8g), 흑설탕(3g)",332.7,3.25,2.97,14.66,525.2,"가다랑어포 육수를 사용해 나트륨 섭취를 줄였다.
또한 라면을 끓인 뒤 찬물로 헹궈 나트륨 함량을 낮췄다","1. 돼지고기를 차가운 물로 헹구고
냄비에 물(300g), 대파, 생강과 같이
넣고 끓여 돼지고기가 익으면
면포에 거른다.","2. 냄비에 물(300g)을 넣어 끓으면
가다랑어포를 넣고 1분간 끓이고
불을 꺼 가다랑어포가 가라앉으면
면포에 거르고, 다시 물(300g)을
넣어 면포에 걸러낸 가다랑어포를
넣어 약한 불로 10분간 끓인 뒤
가다랑어포가 가라앉으면 면포에
거른다.","3. 돼지고기 육수와 가다랑어포 육수를
섞은 뒤 200g을 따로 덜어
조림양념을 넣고 끓이다가
돼지고기를 넣고 조린다.","4. 라면은 삶아 찬물에 헹궈 건지고,
쪽파는 송송 썬다.","5. 육수를 뜨겁게 끓인 뒤 그릇에
라면사리와 함께 담고,
돼지고기조림, 쪽파를 올리고 팬에
남은 조림 소스를 끼얹어 마무리한다.",
5,들깨칼국수,끓이기,밀가루,면/만두,,"밀가루(100g), 녹말가루(10g), 식용유(10g), 소금(0.2g)
달걀(50g), 애호박(20g), 홍고추(10g), 들깨가루(30g)
- 육수 : 건새우(10g), 멸치(20g), 양파(20g), 다시마(10g)
마늘(10g), 무(50g)",76.5,7.7,8.3,37.4,255.6,시원한 해물육수와 고소한 들깨의 조합으로 별도의 소금이 필요없어요,"1. 밀가루에 녹말가루와 식용유, 소금,
달걀, 물을 넣고 반죽을 한다.","2. 반죽된 밀가루를 비닐에 넣고 숙성을
시킨다.","3. 냄비에 건새우와 머리 ? 내장을 제거한
멸치, 양파, 다시마, 무, 통마늘을 넣고
끓인 육수를 소창에 걸러 놓는다.","4. 호박은 반달로 썰고, 홍고추는 어슷
썰어 준비한다.","5. 만들어 놓은 육수에 들깨 가루를 넣어
끓인다.","6. 숙성된 밀가루(②)를 얇게 밀어 칼국수로
만든 뒤 준비한 육수(⑤)를 한소끔 끓인
후 칼국수와 호박을 넣어 끓이다가 다시
홍고추를 넣고 한 번 더 끓여 완성한다."
6,쪽갈비구이,굽기,돼지고기,메인반찬,60분이내,"쪽갈비 400g, 올리브오일 30g, 통후추 1g, 건 로즈마리 1g, 와인 15g
곁들이채소 : 방울토마토 45g, 양파 60g, 레몬껍질 10g
소스 : 마요네즈 30g, 식초 15g, 홀그레인 머스터즈 10g, 설탕 5g, 다진마늘 5g, 백후추 1g",150.9,23.3,22.5,2.7,306.8,고기에는 로즈마리의 향으로 잡냄새를 제거해주고 통후추를 사용해 훨씬 더 깊은 맛을 내주어 소금을 사용 안 해도 깊은 맛을 내 주어 나트륨을 줄였다.,"1. 쪽갈비는 물에 와인을 넣어 80% 이상을 삶아
냉수에 헹군다. 데쳐낸 쪽갈비를 올리브오일
과 로즈마리와 통후추를 뿌려서 구워준다.",2. 소스를 만들어준다.,3. 레몬껍질은 채 썰어준다.,"4. 방울토마토는 먹기 좋게 자르고 양파도 먹기
좋게 잘라 팬에 구워준다.",5. 쪽갈비를 레몬껍질과 함께 굽는다.,"6. 구워진 채소에 함께 쪽갈비를 굽고 소스와
함께 완성한다."
7,해물우동볶음,볶음,기타,면/만두,60분이내,"새우(20g), 오징어(20g), 조개살(20g), 양배추(20g)
파프리카(20g), 청경채(20g), 당근(20g), 양파(20g)
저염버터(10g), 우동(100g), 굴소스(20g), 칠리소스(30g)
가쯔오부시(5g)",1259.7,17,6.4,60.9,369.1,해산물로 간을 하여 추가 간을 해주지 않아도 음식에 맛과 풍미를 주었어요.,"1. 새우는 내장을 제거하고, 오징어는
껍질을 벗겨 안쪽으로 칼집을 넣은 뒤
준비한 새우, 오징어, 조개살을 살짝
데친다.","2. 양배추와 파프리카를 길쭉하게 썰고
당근, 양파는 채를 썰어 준비한다.","3. 굴소스와 칠리소스를 섞어 소스를
만들어 놓는다.",4. 우동은 끓는 물에 한 번 데쳐 준비한다.,"5. 팬에 버터를 둘러 해물을 먼저 볶다가
만들어 놓은 소스를 넣는다.","6. 5번에 채소를 넣어 살짝 볶다가 데친
우동을 넣고 한 번 더 볶은 후 접시에
담고 그 위에 가쯔오부시를 올려
완성한다."
8,된장국,끓이기,기타,국/탕,30분이내,"된장국
두부 20g(2×2×2cm), 애느타리버섯 20g(4가닥), 감자 10g(4×3×1cm), 양파 10g(2×1cm), 대파 10g(5cm), 된장 5g(1작은술), 물 300ml(1½컵)",260,2,0,3,20,"된장국의 된장 사용량을 줄이기 위해 두부와 감자 등의 재료를 갈아 넣으면 담백한 된장국을 맛볼 수 있어요.
된장의 양을 적게 사용함으로 나트륨 섭취를 줄일 수 있어요.","1. 감자, 양파는 얇게 썰고 애느타리 버섯은 썰어 달궈진 팬에 굽는다.","2. 냄비에 물을 붓고 된장을 푼 뒤 감자, 양파, 두부를 넣어 재료가 투명해지게 끓인 후 된장국의 재료를 건져서 믹서에 넣어 갈고 된장국에 넣어 한번 더 끓인다.",3. 구운 애느타리버섯과 대파를 국에 넣어 끓인 후 그릇에 담는다.,,,
9,족발수육,삶기,돼지고기,메인반찬,2시간이내,"주재료 : 양념족발 200g, 고구마 150g, 가지 150g, 맥주 400g, 백김치 50g
백김치 무침양념 : 참기름 15g, 통깨 3g",471.7,22.2,14.3,16.2,282.2,백김치를 물에 헹궈 양념을 제거하여 짠맛을 줄였다.,"1. 조미된 족발은 뜨거운 맥주에 데쳐내 기름기를
제거한다.","2. 고구마는 편으로 썰어 냉수에 헹궈 기름
없는 팬에 구워준다.",3. 가지는 편으로 썰어서 수분을 제거한다.,4. 가지는 편으로 썰어 살짝 구워준다.,"5. 백김치는 물에 헹궈서 손으로 꼭 짠 후 송송
썰어서 양념을 해 무쳐준다.","6. 무쳐준 김치와 함께 구워진 채소와 족발수육을
담아 완성한다."
10,파인애플볶음밥,볶음,과일류,밥/죽/떡,30분이내,"밥 150g, 칵테일새우 50g, 파인애플 통조림 100g, 양파 60g, 청고추 15g
노란파프리카 20g, 빨간파프리카 20g, 마늘 15g, 계란 60g, 마늘기름 30g
흰후추 1g, 레몬소금 1g, 맛간장 15g, 통깨 10g",280.1,12.3,10,36.6,285.3,"파인애플에 레몬소금을 살짝 뿌려서 단맛을 향상시키고 더욱 쫀득하게 만들어준다.
과일을 이용해 만든 맛간장을 마지막에 살짝 첨가해주면서 풍미를 더해주는 요리법으로 나트륨을 줄였다.","1. 양파, 2가지색 파프리카, 청고추는 작은 깍두기
모양으로 잘라준다.","2. 파인애플도 먹기 좋게 썰어준 뒤 레몬소금을
살짝 뿌려준다.",3. 계란은 풀어서 팬에 스크램블을 만들어준다.,"4. 마늘을 다진 후 마늘기름으로 칵테일 새우를
볶아준다.","5. 볶아진 칵테일새우에 잘라준 채소를 넣어
다시 볶아준다.","6. 여기에 밥을 넣어서 볶아주고 파인애플과
맛간장, 통깨를 넣어서 볶아준다."
